score;content;sentimen
1;Katanya diproses 5 hari kerja, tapi udah 3 pekan masih belum selesai. Menghubungi CS via email nggak ada tanggapan. Dari awal udah seburuk ini pelayanannya, gimana kalau udah ada duit didalemnya? Pasti lebih rempong;Negatif
1;susah utk penjualan saham pembelian gampang;Negatif
5;Mantap;Positif
5;aplikasinya bagus, mudah dalam pengoperasiannya dan para pemula yang ingin belajar investasi pun senang karena terdapat panduan didalamnya.;Positif
5;Mantap bro;Positif
5;Keren Ajaib;Positif
5;Good;Positif
5;Masyaallah kerennya,sukses trus;Positif
5;Sangatt memuaskan;Positif
5;Top;Positif
5;mudah bagi pemula yang mau bisnis saham / proses buat RDN mudah / proses tarik dana cepat / tampilan mudah dipahami / terima kasih;Positif
5;Bagus👍🏻;Positif
5;Is the best pokony...apk inves tercuan👍🏻;Positif
1;Server lemot;Negatif
5;gud;Positif
5;mantapp;Positif
5;good;Positif
5;App yang sangat membantu. Terima kasih 🌟🌟🌟🌟🌟;Positif
5;Mantep;Positif
5;Bisa buat cari penghasilan tambaha;Positif
5;Mantep dengan ajaib jadi bisa nabung;Positif
5;Mantap;Positif
1;Saya dulu pernah buka akun ajaib sekarang gak bisa di buka padahal sandi benar 😭😭😭;Negatif
5;sangat membantu 👍;Positif
5;Bagus bgt;Positif
5;Suka banget;Positif
5;Josss;Positif
5;Ajaib sangat bermanfaat👍;Positif
5;Aplikasi mudah dan trasaksi cepat.. sahabat ajaib sekarang ada program bagi2 saham, dafta segera sahaba ajaib kita belajar analisis saham dan mulai bertasaksi.. bisa menggunakan referal (wma.871);Positif
5;Top SAYA PENGGUNA YANG SETIA. Kemudahan untuk meraup return + Sangat membahagiakan!. SAYA ADALAH INVESTOR LOKAL. YANG MENDAFTARKAN DIRI MELALUI AJAIB SEJAK TAHUN 2019 DAN TIDAK INGIN BERHENTI ATAU DI TINGGALKAN AJAIB. AJAIB ADALAH GURU,YANG BERHASIL MENGAJARI SAYA BERINVESTASI YANG BENAR TANKS AJAIB RATING 5 ADALAH PENGHORMATAN SAYA;Positif
5;Applikasinya kerenn;Positif
5;Pengalaman yang memuaskan. Mudahan kedepannya semakin lebih baik lagi;Positif
5;Aplikasi investasi yang sangat bagus untuk pemula. Menurut saya ajaib memiliki tampilan yang paling keren n rapi kalo dibandingkan aplikasi sekuritas lain. Tapi kurang cocok untuk trading, bakal kalah cepat sama trader yang memakai mirae sekuritas karena mereka memiliki fitur fast trade. Semoga kedepannya ajaib juga menghadirkan fitur fast trade agar dapat digunakan oleh para trader.;Positif
5;Aplikasinya keren Aplikasinya jg berguna banget,apalagi saya mahasiswa jurusan ekonomi,jadi bisa sekalian belajar mengenai investasi dan memahami pentingnya investasi di usia muda.;Positif
5;Good;Positif
5;Gak jelas nih aplikasi. Saya mau jual gak bisa terus udah berapa kali coba, keterangannya closed, diluar jam kerja. Disaat pada jam kerja dan status order open pun tetap gak bisa jual juga. Ribet mau jual doang. Mending pakai aplikasi sebelah simpel. Mending main aplikasi makmur, BMoney dan aplikasi serupa lainnya;Positif
5;Bgus bngett buat investasi;Positif
5;Aplikasinya luar biasa;Positif
5;aplikasi ini sangat bagus untuk investasi;Positif
5;Aplikasi sangan membantudan bermanfaat;Positif
5;saya jadi mengerti cara investasi yang cerdas. aplikasi ini cocok sekali untuk anak muda yang baru ingin belajar berinvestasi.;Positif
5;Apk nya Menarik bisa buat nabung dll;Positif
5;Aplikasi yang bantu bgtt untuk tanam saham;Positif
5;Mantul;Positif
5;Good;Positif
5;bagus;Positif
1;Cacat nunggunya lama Saldo wd gak masuk2;Negatif
5;Aplikasinya bagus dan bermanfaat untuk investasi;Positif
5;Tampilan simpel dan mudah dipahami. Cocok banget buat para pemula yang pengen belajar dan jual beli saham. 👍🏻;Positif
5;Sangat membantu 👍🏻;Positif
5;Aplikasi ini sangat bagus;Positif
5;Mantap.....sebagai Sarana investasi;Positif
5;mantab;Positif
5;Mantap puolll;Positif
5;aplikasi yang menarik dan menguntungkan;Positif
5;Oke banget;Positif
5;Sangat membantu;Positif
1;Harus bisa tarik ke e wallet lah kayak dana atau ovo gitu biar mempermudah;Negatif
1;Dipaksa temen bintang 5 dari unnes;Negatif
5;Mantap keren. yang bintang satu hanya karena mereka saja yang tidak paham;Positif
5;Keren;Positif
1;Najis,mau narik aja susah malah account bank invalid;Negatif
5;Perbaiki untuk jual saham bonus gak bisa;Positif
5;Aplikasi ajaib sangat bagusss;Positif
5;Aplikasi ini memberikan informasi yang lengkap sehingga mudah digunakan untuk pemula;Positif
1;SAMPAH.;Negatif
5;Mantap;Positif
5;Gunakan kode Referal [ 𝐠𝐨𝐩𝐞𝟕𝟖𝟒 ] ajaib aman buat berinvestasi dan sudah terdaftar di OJK,,dan aplikasi nya juga banyak saham yang bisa kita investasikan<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;Positif
5;Aplikasi sangat baguss;Positif
5;waww luar biasaa;Positif
1;Selamat malam admin bpk,ibu sudah 2 minggu nih kyc lama bener;Negatif
5;Nik aplikasi keren dah!!;Positif
5;Mantap ajaib;Positif
5;Disuruh nabila;Positif
5;nice;Positif
5;Mantap;Positif
5;Bagus buat pemula yang mau belajar investasi;Positif
5;Buat investasi mantap nih di ajaib;Positif
5;Mudah di gunakan,, mantap;Positif
5;Mantap;Positif
5;Mantap;Positif
5;Aplikasi nya bagus sangat membantu semoga makin bagus dan maju.;Positif
5;Aplikasi sangat bermanfaat dan gampang di oprasikan;Positif
5;Aplikasinya keren. Makasi ajaib sudah membantu;Positif
5;bagus banget sih, wajib bgt donlod ini;Positif
5;Aplikasi sangat bagus, mudah dipahami;Positif
5;Mantap aplikasinya 👍👍;Positif
5;yok buruan install apk nya;Positif
1;Modal saya blm balik gmna ini padahal udah saya jual dan tarik...👎;Negatif
5;wow;Positif
5;sangat bagus;Positif
5;Cocok untuk berinvestasi;Positif
5;Tambah mantap nih ajaib.. Kalau bisa ditambah waran jangan saham aja..;Positif
5;Aplikasinya Bagus Sekali teman-teman..;Positif
1;Gak se Ajaib kenyataan, unistal;Negatif
5;Belum mulai saya;Positif
1;Dulu awal2 pakai lancar koneksinya, terus gak lama semakin banyak yg pakai semakin ada delay untuk trade view nya contoh jam di hp jam 9.00 tapi candelnya masih di jam 8.50 jadi mungkin masalah server atau gimana;Negatif
1;Kenapa ya setiap verivikasi ktp gagal mulu malah keluar sendiri;Negatif
5;Baguss;Positif
5;Mantab;Positif
5;Aplikasi yang bagus buat mulai investasi;Positif
1;Coba registrasi dan gagal karena verifikasi KTP, mencoba menghubungi customer care ya dan tidak mendapat solusi. Coba buka akun baru dikasih notif nik KTP sudah terdaftar;Negatif
5;Ok;Positif
5;Keren;Positif
1;Aplikasi parah... Selfi yg susah n slalu ngulang mulu isi data, setelah bsa di lewati giliran tanda tangan yg susah n ngulang lagi ngisi data dari awal.sangat parah banget aplikasi;Negatif
5;Sangat memuaskan.. txs;Positif
5;Sangat Baik untuk tugas kuliah Mas Arsy;Positif
5;Di suruh dick arsy ngasih bintang 5;Positif
5;aplikasi sangat membantu untuk ber investasi;Positif
5;OK ajaib;Positif
5;Keren;Positif
5;Cocok buat Investasi...saya plih Aplikasi Ajaib...jgn dengarkan komentar negatif orang bila belum mencobanya....🤗🙏🙏;Positif
5;Recommended;Positif
5;Bagis sekalii;Positif
5;Sangat membantu dalam berinvestasi;Positif
5;Nice;Positif
5;Simple dan gesit...;Positif
5;Aplikasinya bagus;Positif
5;Mantap;Positif
5;Fiturnya lengkap dan rekomended;Positif
5;Keren banget;Positif
5;Mantap Sukses selalu Dan bertahan utk jangka panjang;Positif
2;tanya CS nya gagal pembuatan RDN dr bank permata tapi ga ada solusi udah 2 minggu lebih . ini gimana jadi ? saya harus ngapain ?;Negatif
5;Nice;Positif
1;kata nya cuma 4-5 hari kerja, ini udh seminggu blom di dapet verifikasi;Negatif
1;Penanganan csnya sangat jelek....klo bisa di kasih bintang minus paling gw kasih minus;Negatif
5;Hallo tim Ajaib, Tolong ditambahkan dong Kolom Add, agar bisa melihat penambahan bid dan ask nya, terima kasih;Positif
1;Daftar berkali2 gag bisa2 pdhl sdh isi data lengkap. Keteranga hanya krn koneksi internet terganggu pdhl saya pake wifi.;Negatif
1;Awalnya uang saya dalam proses pencairan yaitu T+1, lalu setelah itu dipending. Ketika kemarin harusnya sudah bisa cair , hari ini uang saya tidak ada. Tolong bantuannya dari pihak ajaib;Negatif
5;Apk buat investasi saham&reksa dana yang menyenangkan karena banyak fitur fitur yang sangat membantu bagi pemula.,;Positif
5;Aplikasi masa kini.... 👉👉👉;Positif
1;Gak bisa login, udah reset lewat email masih gak bisa. Mana udah profit tu sahamnya.;Negatif
5;Produk indonesia.... semoga menjadi lebih besar lagi;Positif
5;Tolong buat fitur TS,SL nya,,supya lebih gampang Trading nya;Positif
1;Saya jual saham baut saya dengan harga 2,8 juta, tetapi mala masuk ke rekening Rdn cuman 2,2 juta lbh, dmna sisa uang yg lain?? Mhon tanggung jawabnya,di email juga ngk ada respon 🥺🥺🥺;Negatif
5;"Daftar ajaib pakai referal "" arip359 "" langsung dapat saham gratis terimakasih";Positif
2;Kenapah saham sayah ko ga ada yah;Negatif
5;Cus;Positif
5;Gampang daftar nya, gampang pula penggunaanya ditambah dgn berbagai fitur yg terus berkembang. Saatnya yg muda yg berinvestasi dan melek financial bersama Ajaib tentunya 😊;Positif
1;Masih sering error, maaf ini sangat meresahkan;Negatif
5;Disruptor Saham Ritel;Positif
5;Invest jd lebih mudah;Positif
5;Memudahkan investasi bagi pemula;Positif
5;Sangat bagus sekali aplikasi ini. Saya dapat informasi aplikasi ini dari teman saya. Semoga saya bisa ya memakai aplikasi ini;Positif
5;Good;Positif
5;Sangat bagus, Bintang 4⭐⭐⭐⭐ 😄;Positif
2;Pass daftar e IPO ktnya lanjut regist lewat email tapi kok di email saya ga ada news message ya ini 2 hari g kelar registnya ternyata daftarin akun kita aja seribett ini ya;Negatif
5;Aplikasi keren, bagus, dan menarik👍;Positif
5;Bagus;Positif
1;Apa penipuan bikin even undang teman dapat 100k tpi ini udah 2 minggu ngk dapat,di chat email balasannya sangat bikin emosi,gaje balasan emailnya itu itu ja yg di bls,di tanya beda jawaban beda,sangat tidak rekomendasi,sangat buruk;Negatif
5;Mohon di perbiaki dari segi verifikasi yang cukup lama dalam pemrosesan.itu saja;Positif
5;Bagus banget ini aplikasinyaa, bisa sekalian belajar investasi. Terlebih lagi saya masih mahasiswa, jd lebih paham tentang pentingnya investasi di usia muda!;Positif
5;Keren banget skrg investasi jadi lebih mudah;Positif
1;Sdh kurang lebih mau 2 minggu lebih verifikasi akun saya blm juga ada tanda2nya, saya mau bertransaksi bgmna, pdhl di apknya blg butuh 4/5 hari kerja, ini sdh lewat dari 4/5 hari masih saja blm di verif, maunya apakah ini apk? Klo tau bgtu tolong data saya jgn di mainkan atau di prgunakan dgn tdk pantas, itu namanya mencemarkan nama baik saya.;Negatif
5;Bgs;Positif
5;Best;Positif
5;Appnya bagus bnaget......;Positif
5;Mudah penggunaan nya..mantafff;Positif
5;Mudah dan cepat pemakaiannya.;Positif
1;Sering error parah.. tools nya jg kurang lengkap dibanding sekuritas yg lain. Banyak yg perlu di perbaiki ni ajaib..;Negatif
1;Buruk;Negatif
5;sip aplikasinA;Positif
5;Mantap;Positif
5;lumayan;Positif
1;agak mengecewakan;Negatif
5;Oke;Positif
5;Mantap;Positif
5;Mantap;Positif
5;Semoga rezeki;Positif
1;Apa apaan sih ajaib, gua mau jual saham viva udah 7 hari, gak masuk masuk saldonya ke RDN, kok makin update makin 1000% parah ya keanehannya, tolong dong ini masalah serius masak udah seminggu penjualan saham masih belum masuk saldo RDN, auto uninstall kalau belum direspon ini mah, ini asli kejadiannya jujur dah gua😭😭;Negatif
1;Pihak ajaib parah di notif berhasil di tarik dana rdn dari jam 7 pagi pas di cek di siang hari gak dikirim ternyata uangnya di kantongin sama pihak ajaib;Negatif
1;Kurang aman;Negatif
5;Aplikasi sekuritas yang sangat bagus untuk pemula maupun yang expert, informasinya lengkap;Positif
1;Apk gajelas anjj,, giliran gua jual harga langsung pada naikkk, ga gua jualll harga turun anjlokk parah! Taiiii rugiii yang ada;Negatif
5;Good;Positif
2;Belum cocok main ini akunya. Minis mulu, pas ambil dana juga gk pernh sesuai selalu kepotong. Sekian.;Negatif
2;Kecewa banget harusnya dapat buying power 900rb cuma dapat 300rb padahal sudah susah payah ajak teman + sudah modali temen juga , SMOGA REZEKI SAYA DIGANTIKAN YG LEBIH BANYAK AMIN .Jika saldo buying power saya dikirim SISANYA akan SAYA GANTI BINTANG SAYA MENJADI 5;Negatif
5;nice;Positif
1;Burik;Negatif
5;Top;Positif
5;Aku suka , ajaib ngebantu aku buat pilih mana saham yg baik buat aku inves;Positif
5;Coba heula;Positif
5;Like thiss;Positif
5;Nice;Positif
5;Mantap;Positif
5;bagus;Positif
5;Mantep;Positif
1;Tolong jangan di persulit untuk pembaruan nomor Tlp tim ajaib. Terima kasih;Negatif
5;Aplikasi ini sangat mudah dn menyenangkan;Positif
1;Halo admin saya withdraw ko di app ajaib udah berhasil tapi ko saldo ga masuk ke atm;Negatif
5;ternyata ada juga ya,di suspen,di pantau.;Positif
5;"Kode referal van.232 yuk biar untung bareng"" 👍";Positif
1;Verifikasi katanya cuma 4-5 hari kerja, gua udah hampir mau sebulan belum veruf verif wkwkwk;Negatif
1;nyesel. saya baru top up aj dipersulit.. knp kmren saya gk liat rating ny dlu;Negatif
5;Bagus,orang² pada ngasih bintang 1 itu bener ilang saham nya bener ilang duitnya atau memang belum paham pembelian saham ya, saya kok lancar² aja ya;Positif
5;Mantap;Positif
5;Yuk daftar ajaib hari ini pake kode aku (tk.1870);Positif
5;Applikasi yg membantu pemula utk cepat memahami ttg saham dan bagaimana memanfaatkannya.;Positif
1;Masukin no rekening gak bisa... Padahal ya itu no nya.... Diulang 10 x tetep gak bisa;Negatif
1;Witdraw lamaaa;Negatif
5;Nice apps;Positif
5;Bagus;Positif
2;Saya pernah mengalami waktu treding pas harga naik dan kita jual, aplikasi ga langsung kejual dan treding masih berjalan dan ketika harga turun baru ke jual. Mungkin ga real time ya transaksi atau delay sehingga pas saham turun pas ke jual. Mohon kedepan nya app bisa realtime dalam bertransaksi..terima kasih;Negatif
2;Mantap gak bisa ganti rekening knp yaaa haduuuuuh;Negatif
5;Baguss;Positif
5;aplikasi ini sangat membantu sekali untuk berinvestasi.;Positif
5;Cara mudah berinvestasi saham;Positif
5;Terbaik emang,ga ada lawan;Positif
5;Saran: di data akun pengguna mohon tambahkan kontak ahli waris, sebagaimana yg dilakukan platform Reksadana Bibit. Jadi andai pemilik akun meninggal pihak aplikasi bisa menghubungi ahli waris;Positif
1;Tidak informatif, dikatakan pembukaan RDN tidak dapat dilakukan karena profil tidak lolos proses penyaringan.. dan saya tidak tahu parameter penyaringan yang dimaksud, dan pihak ajaib tidak dapat menyampaikan apa parameter penyaringan yang dimaksud.. Maksudny gimana coba?;Negatif
1;Verifikasi akunya error terus;Negatif
1;Saya buy haka pending.... Sell haki pending. Klu scalper ngeri oiiii;Negatif
1;Bintang satu aja, karena banyak komen yang kecewa, iklanya doang berjejer di senayan,;Negatif
1;Saya sudah nggak pakai lagi ini sekuritas nggak ada metode deposite lewat bank lain. sial gw buka pakai BCA lagi pas gw minta ubah nggak di respon 😭 kecewa;Negatif
2;Record jual beli perjelas dong, masa return 250rb ke saldo jadi 170rb.;Negatif
5;Recommend;Positif
5;Mantap...;Positif
1;Ikut event angpao, undang temen 24 orang , saldo rdn + koin baru 4x itu juga koin kurang ...hufttt;Negatif
1;apk cacad!;Negatif
1;Uang portofolio bisa hilang sendiri;Negatif
1;Kok saham di appku Ndak naik atau turun ya?selalu 0% apa error'?;Negatif
1;Mohon ditangani dengan serius, saya tidak rela ketika besok porto saham saya di forced sell. Ini murni kesalahan dari pihak ajaib. Saya akan laporkan ke ojk dan bei, bersama teman2 yg lain. Karena kerugiannya banyak sekali, saya sendiri minus 57 juta dan teman2 lebih dari ratusan juta. Ini merugikan konsumen. Kronologis yg saya alami sendiri. Pada tanggal 8 februari, tiba2 ada porto iptv sebanyak 16.000 lot. Dan saldo buying menjadi minus 310 juta. Chat cs email, ig, fb tidak solutif.;Negatif
5;Mantap asli;Positif
5;Bagus aplikasinyaaa;Positif
5;very good;Positif
1;Maaf sudah lebih dr seminggu kenapa registrasi saya belum di aprove,mohon bantuannya;Negatif
5;Parah pencairan lama sudah menunggu T02. T01. T0 dana sudah masuk rdn.. Mau pencairan ke rek BCA butuh lagi waktu 3 hari kerja.. Sudah buntung makin buntung.. Tolong diperbaiki sistem kerjanya... Siapa lagi yg berani masukkan modal besar jika mau pencairan saja lambatnya bukan main 1 minggu blm tentu kelar parah banget;Positif
5;Aplikasi ini sangat membantu saya dalam belajar saham;Positif
2;Mending investasi di pluang lebih oke, top up sama tarik saldo instan tidak perlu nunggu;Negatif
5;Good;Positif
5;Bagus dan wow keren;Positif
5;Seriusan ini gampang banget buat pemula, 100% daftar online dan gampang banget daftarnya, jangan lupa masukin kode ( j h o v 4 9 8) buat dapetin 1 slot saham gratis yang baru mau belajar investasi buruan di download biar ngga nyesel, dan aplikasi ini tuh mantep bgt loh.;Positif
1;Pengembalian saldo tidak sesuai dengan harga saham yang saya beli;Negatif
1;G jadi Donwlod karena banyak yang komen buruk bintang satu.;Negatif
5;Aplikasi yang sangat bermanfaat bagi para pemula yang baru memulai untuk berinvestasi , karena ada panduan dan bisa berdiskusi dengan pengguna lainnya . Semoga semua yang menjadi keluhan pengguna bisa diperbaiki dan lebih ditingkatkan lagi;Positif
5;Aplikasi investasi yang recommended. Fiturnya lengkap dan cocok untuk yanh masih awam dengan dunia investasi.;Positif
5;Keren si! Emng apk cerdas untuk investasi. Yuk install!;Positif
5;Aplikasinya sangat bagus, sangat mudah bagi pemula yang belajar investasi, semoga bisa dipertahankan;Positif
1;Melakukan penarikan, tpi kenapa sudah sebulan lamanya blum masuk ke rekening?;Negatif
5;Mantap;Positif
5;Memudahkan pemula untuk berinvestasi saham. Nggak ribet untuk log in.;Positif
5;Bagus;Positif
5;Ahh Mantaapp !;Positif
5;josss Sangat membantu;Positif
5;Aplikasi yang keren mantappp;Positif
5;gud;Positif
5;Aplikasi keren nih...;Positif
2;Sayangnya ajaib hanya bisa pakai rekening bank,tidak bisa pakai walet dana,yg tak punya rekening bank ya tak bisa ikut,jadi saya unistall, lagi pula registrasinya rumit, kota saya diduri tdk ada pilihan kota Durinya,Mengapa rumit ya? masih coba coba karena belum pasti mengerti cara berinvestasi, karna memang blm pernah berinvestasi, Kota tempat tgl saya tdk terdaftar(Kota Duri), Makanya unistall balik.;Negatif
5;Aplikasinya bagus bangett guys wajib di instal 😍;Positif
5;Kerennn dan mantap;Positif
5;Bagus banget buat pemula Bisa belajar investasi;Positif
5;Mantap;Positif
5;Aplikasinya Mantap banget kerennnn;Positif
5;aplikasi investasi keren banget loh<????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????;Positif
5;sangat bagus apk nya, makin nambah pengetahuan;Positif
5;apk yang bagus💯;Positif
5;Blm coba GK tau caranya;Positif
5;Mantap;Positif
1;Kenapa maintrnance nya lama;Negatif
1;Mau melengkapi data diri baru pertama kali daftar, giliran sampai tanda tangan, selesai tanda tangan gajadi terus. gatau udah ngulang sampe berapa kali. gedek banget;Negatif
5;Ok;Positif
5;Aplikasi yang bagus;Positif
5;Aplikasi yang bagus untuk membuka saham dan invrstasi pokoknya mantap;Positif
5;Keren apl ini;Positif
5;apk oke banget, mulai investasi;Positif
5;Tolong di perbaiki lagi.. Sering eror jdi merugikan ketika sedang transaksi jual/beli;Positif
2;Ini kenapa pas tanda tangan susah banget ya jaringan padahal bagus tapi kok masih ada notif jaringan kamu terganggu, minta tolong dong dibetulkan min;Negatif
5;Aplikasi yang sangat bagus untuk memulai investasi mantap dahhhh keren 🤩🤩;Positif
5;Aplikasinya keren;Positif
5;Baguss;Positif
1;Pencairan dana lambat dan ada min saldo yg ditahan.;Negatif
5;Semua berjalan lancar..mantap buat ajaib..aplikasinya jelas.. Semua transaksi detail.. Dan selalu update dalam pasar.;Positif
5;mantabb apknya;Positif
1;Ini yang kedua kali saya coba instal aplikasi AJAIB.. Selalu tidak bisa upload foto KTP lewat kamera.. Apa ga ada pilihan lain untuk upload foto selain pake kamera, misal ambil langsung dari Galeri foto..??? Coba perbaiki lagi aplikasinya.. Parah bener ini aplikasi ga kayak aplikasi yang serupa..;Negatif
5;Smoga lebih baik lagi;Positif
5;Ok;Positif
5;Mohon maaf atas ketidak nyamanan ini jib;Positif
5;UN TV Jo Mi Yo mi mi;Positif
5;Sukaaaaaaaaa bangettt sama Aplikasinya. User Friendly, tampilannya GAK bikin bingung pengguna, Simpel, Enak diliat dan digunakan. Sejauh ini tidak ada kendala, topup RDN ekstra cepat, penarikan RDN pun cepat, notifikasi di hp utk saham yg dipantau pun selalu update, jadi bisa tau perkembangan naik turunnya harga. Sedikit INFO : Saya kemarin berhasil undang teman, lalu saya mendapat 1 lot saham bonus. Teman saya pun dapat 1 lot saham bonus. Intinya : saya suka aplikasi AJAIB (Kode : aya.699);Positif
5;Tambah lagi bintang 5 mantap permasalahan langsung tuntas dan cepat⭐⭐⭐⭐⭐;Positif
5;Good;Positif
5;Mohon di perbaiki proses tranksaksinya agar bisa lebih cepat prosesnya,,,,, Over All bagus koq;Positif
5;Terima kasih iqbal tukul telah menyarankan aplikasi ajaib ini, sangat membantu sekali dan saya semakin berprestasi.;Positif
1;Kesel deh sama ini apk bonus saya belum masuk2ssh 3 hari kerja nggu ga ada juga... Di DM ga ada jawaban d email ga ad solusinya... Kesel banget saya... 9 orang teman yg berhasil verifikasi dan investasi belum masuk2 bonusnya di bilang ga memenuhi syarat lah ga memenuhi syarat gimana sih ga mungkin kan kalo ga memenuhi syarat 9 koin ajak teman saya dapat... Yg belum masuk2 hadiah yg 100k + 3 lot sahamnya kali 3 kan 9 orang yg berhasil... Saya tunggu kejelasan bonus saya;Negatif
5;Mudah dimengerti;Positif
5;Sekuritas dengan fee paling rendah untuk saat ini;Positif
1;Mana nih rlt yang di janjikan sue, developer game atau developer ajaib nih yg korup ingkar, gak bayar semoga kena karma, besok malam masih belom delete data delete apk;Negatif
1;Kasih bintang 1 dlu soalnya saya jual portopolio gagal trs ga pernah masuk ke saldo RDN jadi sangat kecewa banget udh instal apk ajaib ini smoga aja data saya ga si salah gunakan.;Negatif
5;bagus banget cocok untuk di gunakan oleh mahasiswa.;Positif
5;Nicee!!!;Positif
5;Baguss;Positif
5;keren bangett;Positif
5;sangat membantuu;Positif
5;berguna banget sih ini wahhh;Positif
5;Verrry good;Positif
5;Bagus sekali;Positif
5;baguss bgt sii aplikasinyaa sangatt membantu buat pemulaa🤗🤗;Positif
5;bagus 👍;Positif
5;Good;Positif
5;Aplikasi yang bagus untuk investasi saham tanpa perlu bertemu agen dan proses verifikasi yang tidak panjang;Positif
5;Bagus👋;Positif
